source_snapshot,source_region,source_position,game_name,tag_line,platform,routing
opgg_kayle_2026_09_26,na,18,4oureal,7766,na1,americas
opgg_kayle_2026_09_26,euw,18,Divine Archangel,Pride,euw1,europe
opgg_kayle_2026_09_26,kr,18,Adgenda,KR1,kr,asia
opgg_kayle_2026_09_26,eune,18,fran,EUNE1,eun1,europe
opgg_kayle_2026_09_26,br,18,Psicose,UFU,br1,americas
opgg_kayle_2026_09_26,na,19,SΘMΛΤΙC,KORR,na1,americas
opgg_kayle_2026_09_26,euw,19,Forsaken,Kayle,euw1,europe
opgg_kayle_2026_09_26,kr,19,아기토리,5328,kr,asia
opgg_kayle_2026_09_26,eune,19,LIGMA BOLZZ,kayle,eun1,europe
opgg_kayle_2026_09_26,br,19,Shukrute,lily,br1,americas
opgg_kayle_2026_09_26,na,20,relapsed,1972,na1,americas
opgg_kayle_2026_09_26,euw,20,Zaadkut,ggez,euw1,europe
opgg_kayle_2026_09_26,kr,20,sdkl,KR1,kr,asia
opgg_kayle_2026_09_26,eune,20,Theory,DIFF,eun1,europe
opgg_kayle_2026_09_26,br,20,peixes e varejo,011,br1,americas
opgg_kayle_2026_09_26,na,21,dwoplet,pink,na1,americas
opgg_kayle_2026_09_26,euw,21,Radi2Prospé,TIROU,euw1,europe
opgg_kayle_2026_09_26,kr,21,맞좋남,KR1,kr,asia
opgg_kayle_2026_09_26,eune,21,eindavar,OKO,eun1,europe
opgg_kayle_2026_09_26,br,21,leito e maltrato,123,br1,americas
opgg_kayle_2026_09_26,na,22,Draigoon,slayr,na1,americas
opgg_kayle_2026_09_26,euw,22,KayleSuppNoTroll,1055,euw1,europe
opgg_kayle_2026_09_26,kr,22,어린사랑,KR1,kr,asia
opgg_kayle_2026_09_26,eune,22,synuś,owned,eun1,europe
opgg_kayle_2026_09_26,br,22,creamseth,銀星号,br1,americas
opgg_kayle_2026_09_26,na,23,never streSS,IZAN,na1,americas
opgg_kayle_2026_09_26,euw,23,Radjiv,CHAD,euw1,europe
opgg_kayle_2026_09_26,kr,23,요즘잘자쿨냥이,tft,kr,asia
opgg_kayle_2026_09_26,eune,23,Kutu Ma Kutu,115,eun1,europe
opgg_kayle_2026_09_26,br,23,LuisEduMitozinho,BASED,br1,americas
opgg_kayle_2026_09_26,na,24,You Lose 1v1,NA1,na1,americas
opgg_kayle_2026_09_26,euw,24,Jimzyt,EUW,euw1,europe
opgg_kayle_2026_09_26,kr,24,양말왕 스타킹,KR1,kr,asia
opgg_kayle_2026_09_26,eune,24,i care,11111,eun1,europe
opgg_kayle_2026_09_26,br,24,Lyewul,br1,br1,americas
opgg_kayle_2026_09_26,na,25,TDiddy,5710,na1,americas
opgg_kayle_2026_09_26,euw,25,improve,NoInt,euw1,europe
opgg_kayle_2026_09_26,kr,25,롤하는상현,KR1,kr,asia
opgg_kayle_2026_09_26,eune,25,bug3,swag,eun1,europe
opgg_kayle_2026_09_26,br,25,DEYÁS,Endo,br1,americas
opgg_kayle_2026_09_26,na,26,Cubs,AZ69,na1,americas
opgg_kayle_2026_09_26,euw,26,Soprano Henzo,caca9,euw1,europe
opgg_kayle_2026_09_26,kr,26,케일공주님,KR2,kr,asia
